index,url,accept-found,accept-type,accept-text,reject-found,reject-type,reject-text,error
,,,,,,,,
0.0,https://www.die-bibel.de,True,a,okay,False,,,False
1.0,https://www.energiewechsel.de,False,,,False,,,False
2.0,https://www.forumieren.de,True,button,accept all,True,div,do not accept,False
3.0,https://www.webgo24.de,True,button,alles akzeptieren,True,button,ablehnen,False
4.0,https://www.bundesfreiwilligendienst.de,False,,,False,,,False
5.0,https://www.kliniken.de,False,,,True,a,notwendige cookies,False
6.0,https://www.carlundcarla.de,True,a,alle akzeptieren,False,,,False
7.0,https://www.roastmarket.de,False,,,False,,,False
8.0,https://www.fck.de,True,button,cookies akzeptieren,True,button,ablehnen,False
9.0,https://www.bund-naturschutz.de,True,a,cookies erlauben,True,a,nur notwendige cookies zulassen,False
10.0,https://www.rockantenne.de,False,,,False,,,False
11.0,https://www.com-magazin.de,False,,,False,,,False
12.0,https://www.vzhh.de,False,,,False,,,False
13.0,https://www.bast.de,True,p,ok,False,,,False
14.0,https://www.speyer.de,True,button,accept all,True,button,deny all,False
15.0,https://www.bet365.de,True,div,annehmen,False,,,False
16.0,https://www.hgb-leipzig.de,False,,,False,,,False
17.0,https://www.wind-energie.de,True,button,alles akzeptieren,True,button,ablehnen,False
18.0,https://www.th-nuernberg.de,False,,,False,,,False
19.0,https://www.frankfurter-sparkasse.de,True,a,zustimmen,False,,,True
20.0,https://www.fnr.de,False,,,False,,,False
21.0,https://www.kosmos.de,False,,,False,,,False
22.0,https://www.htwsaar.de,False,,,False,,,False
23.0,https://www.jdsports.de,True,button,akzeptiere alle cookies,False,,,False
24.0,https://www.flugrevue.de,True,button,akzeptieren und weiter,False,,,True
25.0,https://www.koelner-dom.de,True,button,zustimmen,True,button,ablehnen,False
26.0,https://www.ctm-festival.de,True,button,accept all cookies,False,,,False
27.0,https://www.hofbraeuhaus.de,True,a,allow cookies,False,,,False
28.0,https://www.hannover96.de,False,,,False,,,False
29.0,https://www.kkh.de,True,button,schließen,False,,,False
30.0,https://www.integrationsbeauftragte.de,True,button,alle auswählen,False,,,False
31.0,https://www.abda.de,True,a,cookies zulassen,False,,,False
32.0,https://www.volkshochschule.de,True,button,"ja, ich bin mit allen cookies einverstanden",False,,,False
33.0,https://www.innotrans.de,False,,,False,,,False
34.0,https://www.muenchenticket.de,True,button,alle akzeptieren,True,button,ablehnen,False
35.0,https://www.lehrer-online.de,True,button,alle akzeptieren,True,span,essentiell,False
36.0,https://www.qlt-online.de,True,button,alle akzeptieren,True,button,ablehnen,False
37.0,https://www.finanzen.de,True,p,gut,False,,,False
38.0,https://www.kreuzwortraetsel.de,True,button,akzeptieren,False,,,False
39.0,https://www.ikk-classic.de,True,div,zustimmen,True,a,ablehnen,False
40.0,https://www.ehorses.de,True,div,zustimmen,False,,,False
41.0,https://www.womenshealth.de,True,button,akzeptieren und weiter,False,,,False
42.0,https://www.e-bookshelf.de,True,button,allen zustimmen,False,,,True
43.0,https://www.bauhaus-dessau.de,True,a,got it,False,,,False
44.0,https://www.english-4u.de,True,div,got it,False,,,False
45.0,https://www.demeter.de,True,a,zustimmung,True,button,nur notwendige cookies zulassen,False
46.0,https://www.htw-dresden.de,False,,,False,,,False
47.0,https://www.saarbruecken.de,False,,,False,,,False
48.0,https://www.pi-asp.de,False,,,False,,,False
49.0,https://www.volksbank-mn.de,True,button,allen zustimmen,False,,,False
50.0,https://www.uk-essen.de,True,span,"ja, ich will",False,,,False
51.0,https://www.posterxxl.de,False,,,False,,,False
52.0,https://www.intaste.de,False,,,False,,,False
53.0,https://www.futalis.de,False,,,False,,,False
54.0,https://www.photocase.de,False,,,True,div,ablehnung,False
55.0,https://www.mytum.de,False,,,False,,,False
56.0,https://www.buderus.de,False,,,False,,,False
57.0,https://www.pocketnavigation.de,True,p,speichern,False,,,False
58.0,https://www.bimmertoday.de,True,button,zustimmen,False,,,False
59.0,https://www.flughafen-stuttgart.de,False,,,False,,,False
60.0,https://www.ibusiness.de,True,a,erlauben,True,a,verbieten,False
61.0,https://www.office-partner.de,True,a,ok,False,,,False
62.0,https://www.mediherz-shop.de,False,,,False,,,False
63.0,https://www.maxdome.de,False,,,True,button,nur mit notwendigen cookies fortfahren,False
64.0,https://www.0rtl.de,False,,,False,,,False
65.0,https://www.ad-magazin.de,True,div,akzeptieren,True,div,fortfahren ohne zu akzeptieren,False
66.0,https://www.mittelhessen.de,False,,,False,,,False
67.0,https://www.sport-schuster.de,False,,,False,,,False
68.0,https://www.macuser.de,True,a,alle akzeptieren,True,a,optionale cookies ablehnen,False
69.0,https://www.ullapopken.de,False,,,False,,,False
70.0,https://www.thuenen.de,True,div,akzeptieren,False,,,False
71.0,https://www.lensbest.de,False,,,False,,,False
72.0,https://www.bruegelmann.de,True,div,alle cookies akzeptieren,True,a,ablehnen,False
73.0,https://www.ancestry.de,True,button,alle akzeptieren,True,button,alle ablehnen,False
74.0,https://www.art-medial.de,False,,,False,,,False
75.0,https://www.goteo.de,True,button,alle cookies akzeptieren,True,button,nur notwendige cookies verwenden,False
76.0,https://www.fremdwort.de,True,div,zustimmen,False,,,False
77.0,https://www.csu.de,True,a,zustimmung,True,button,nur notwendige cookies verwenden,False
78.0,https://www.westfalia.de,True,button,zustimmen,True,button,ablehnen,False
79.0,https://www.logineonrw-lms.de,False,,,False,,,False
80.0,https://www.myself.de,True,span,alle akzeptieren,False,,,False
81.0,https://www.fruugo.de,True,a,alle akzeptieren,True,a,alle ablehnen,False
82.0,https://www.boys-day.de,False,,,False,,,False
83.0,https://www.lotto-hessen.de,False,,,False,,,True
84.0,https://www.bielefeld.de,True,div,akzeptieren,False,,,False
85.0,https://www.116117.de,True,button,alle akzeptieren,True,button,alle ablehnen,False
86.0,https://www.hertz.de,True,span,accept,True,span,decline,False
87.0,https://www.gerda-henkel-stiftung.de,False,,,False,,,False
88.0,https://www.vermietet.de,False,,,False,,,False
89.0,https://www.fom.de,False,,,False,,,False
90.0,https://www.internet-abc.de,False,,,False,,,False
91.0,https://www.profiseller.de,True,button,bestätigen,True,button,ablehnen,False
92.0,https://www.makita.de,True,div,akzeptieren,True,div,functional cookies,False
93.0,https://www.hs-ruhrwest.de,True,a,ich stimme zu,False,,,False
94.0,https://www.vidaxl.de,True,div,accept all cookies,True,div,continue without accepting,False
95.0,https://www.dvgw.de,True,button,alle akzeptieren,False,,,False
96.0,https://www.prosiebenmaxx.de,False,,,False,,,False
97.0,https://www.landtag-bw.de,True,button,zustimmen,True,button,ablehnen,False
98.0,https://www.tonerpreis.de,True,button,akzeptieren,True,button,verweigern,False
99.0,https://www.karneval-megastore.de,True,button,alles akzeptieren,False,,,False
100.0,https://www.immoverkauf24.de,True,a,ich stimme zu,False,,,False
101.0,https://www.smarketer.de,False,,,False,,,False
102.0,https://www.lionshome.de,False,,,False,,,False
103.0,https://www.lkz.de,False,,,False,,,False
104.0,https://www.hockenheimring.de,True,span,accept all,True,span,reject all,False
105.0,https://www.simple-fax.de,True,p,gut,False,,,False
106.0,https://www.24hamburg.de,False,,,False,,,False
107.0,https://www.motatos.de,True,button,cookies akzeptieren,False,,,True
108.0,https://www.magentacloud.de,False,,,False,,,False
109.0,https://www.nadine-j.de,False,,,False,,,False
110.0,https://www.uni-protokolle.de,False,,,False,,,False
111.0,https://www.onlinefussballmanager.de,False,,,False,,,False
112.0,https://www.walter-fendt.de,False,,,False,,,False
113.0,https://www.coupons.de,False,,,False,,,False
