index,url,accept-found,accept-type,accept-text,reject-found,reject-type,reject-text,error
,,,,,,,,
0.0,https://www.amazon.fr,True,span,accepter les cookies,True,div,continuer sans accepter,False
1.0,https://www.free.fr,True,button,agree and close,True,button,disagree and close,False
2.0,https://www.google.fr,True,button,tout accepter,True,button,tout refuser,False
3.0,https://www.lemonde.fr,True,button,accepter et continuer,False,,,False
4.0,https://www.lefigaro.fr,True,button,accept all,True,div,continue without accepting,False
5.0,https://www.rfi.fr,True,button,accept,True,button,deny,False
6.0,https://www.francetvinfo.fr,True,button,tout accepter,True,button,continuer sans accepter,False
7.0,https://www.pinterest.fr,False,,,False,,,False
8.0,https://www.ec-lyon.fr,False,,,False,,,False
9.0,https://www.ouest-france.fr,True,button,accepter et fermer,False,,,False
10.0,https://www.leparisien.fr,True,button,accepter,False,,,False
11.0,https://www.orange.fr,True,button,tout accepter,False,,,False
12.0,https://www.cnil.fr,False,,,False,,,False
13.0,https://www.laposte.fr,True,button,j'accepte,True,button,continuer sans accepter,False
14.0,https://www.leboncoin.fr,True,button,accepter,False,,,False
15.0,https://www.cnrs.fr,False,,,True,button,non merci,False
16.0,https://www.louvre.fr,True,button,accept all,False,,,False
17.0,https://www.liberation.fr,True,button,accepter et continuer,False,,,False
18.0,https://www.service-public.fr,True,button,accepter,True,button,refuser,False
19.0,https://www.lesechos.fr,True,button,agree and close,False,,,False
20.0,https://www.bnf.fr,True,button,"ok, accept all",True,button,deny all cookies,False
21.0,https://www.radiofrance.fr,True,button,tout accepter,True,button,tout refuser,False
22.0,https://www.20minutes.fr,True,button,accepter et fermer,True,span,continuer sans accepter,False
23.0,https://www.lequipe.fr,True,div,"oui, j'accepte",False,,,False
24.0,https://www.paris.fr,True,button,autoriser et fermer,True,button,refuser,False
25.0,https://www.unblog.fr,False,,,False,,,False
26.0,https://www.tf1.fr,True,button,tout accepter,True,button,tout refuser,False
27.0,https://www.inria.fr,True,button,tout accepter,True,button,tout refuser,False
28.0,https://www.lepoint.fr,True,div,oui,True,div,non,False
29.0,https://www.pole-emploi.fr,True,button,tout accepter,True,p,continuer sans accepter,False
30.0,https://www.lexpress.fr,True,a,continuer,True,a,non merci,False
31.0,https://www.allocine.fr,False,,,False,,,False
32.0,https://www.pagesperso-orange.fr,True,button,tout accepter,False,,,False
33.0,https://www.ebay.fr,True,button,tout accepter,True,button,tout refuser,False
34.0,https://www.edf.fr,True,button,accepter,True,div,continuer sans accepter,False
35.0,https://www.ladepeche.fr,True,button,accepter et fermer,False,,,False
36.0,https://www.archives-ouvertes.fr,False,,,False,,,False
37.0,https://www.iarc.fr,True,div,continue,False,,,False
38.0,https://www.doctolib.fr,False,,,False,,,False
39.0,https://www.actu.fr,True,button,accepter et fermer,True,span,continuer sans accepter,False
40.0,https://www.tripadvisor.fr,True,div,j'accepte,True,div,tout refuser,False
41.0,https://www.sfr.fr,True,form,j'accepte,True,p,continuer sans accepter,False
42.0,https://www.online.fr,False,,,True,button,je refuse,False
43.0,https://www.gouvernement.fr,True,button,"ok, accept all",True,button,deny all cookies,False
44.0,https://www.sudouest.fr,True,button,accepter et continuer,False,,,False
45.0,https://www.francebleu.fr,True,button,tout accepter,True,a,"no, thanks",False
46.0,https://www.huffingtonpost.fr,False,,,False,,,False
47.0,https://www.journaldesfemmes.fr,True,button,tout accepter,True,div,continuer sans accepter,False
48.0,https://www.rtl.fr,True,button,continuer et accepter,True,button,continuer sans accepter,False
49.0,https://www.insee.fr,False,,,False,,,False
50.0,https://www.airbnb.fr,False,,,True,button,continuer sans accepter,False
51.0,https://www.ameli.fr,True,button,tout accepter,True,button,tout refuser,False
52.0,https://www.sante.fr,True,button,tout accepter,True,button,tout refuser,False
53.0,https://www.mediapart.fr,True,button,accepter,True,button,refuser,False
54.0,https://www.europe1.fr,True,button,accepter et fermer,False,,,False
55.0,https://www.impots.gouv.fr,False,,,False,,,False
56.0,https://www.education.gouv.fr,True,button,tout accepter,True,button,tout refuser,False
57.0,https://www.ens.fr,True,button,tout accepter,True,button,tout refuser,True
58.0,https://www.latribune.fr,True,button,agree & close,True,a,"no, thanks",False
59.0,https://www.larousse.fr,True,div,i accept,True,button,continue without accepting optional cookies,False
60.0,https://www.assemblee-nationale.fr,False,,,False,,,False
61.0,https://www.airfrance.fr,True,button,continuer,True,button,refuser,False
62.0,https://www.handbrake.fr,True,a,allow cookies,True,a,decline,False
63.0,https://www.eurosport.fr,True,a,allow cookies,True,a,decline,True
64.0,https://www.carrefour.fr,False,,,False,,,False
65.0,https://www.doctissimo.fr,True,button,j'accepte tout,True,button,je n'accepte rien,False
66.0,https://www.decathlon.fr,True,button,accepter et fermer,True,span,cookies nécessaires,False
67.0,https://www.unistra.fr,False,,,False,,,False
68.0,https://www.persee.fr,False,,,False,,,False
69.0,https://www.vinted.fr,True,button,accepter tout,True,button,tout refuser,False
70.0,https://www.tf1info.fr,True,button,tout accepter,True,button,continuer sans accepter,False
71.0,https://www.ionos.fr,True,button,accepter,True,button,refuser,False
72.0,https://www.telerama.fr,True,button,accepter,True,div,continuer sans accepter,False
73.0,https://www.senat.fr,True,button,tout accepter,True,button,tout refuser,False
74.0,https://www.midilibre.fr,True,button,accepter et fermer,False,,,False
75.0,https://www.slate.fr,True,button,accept all,True,button,do not accept,False
76.0,https://www.lycos.fr,False,,,False,,,False
77.0,https://www.ratp.fr,False,,,False,,,True
78.0,https://www.weborama.fr,False,,,False,,,False
79.0,https://www.capital.fr,True,div,accepter,False,,,False
80.0,https://www.franceinter.fr,True,button,tout accepter,True,button,tout refuser,False
81.0,https://www.ademe.fr,True,button,tout accepter,True,button,tout refuser,False
82.0,https://www.meteociel.fr,False,,,False,,,False
83.0,https://www.pasteur.fr,True,form,ok,False,,,False
84.0,https://www.franceculture.fr,True,button,tout accepter,True,button,tout refuser,False
85.0,https://www.cnews.fr,True,button,accepter et continuer,True,a,continuer sans accepter,False
86.0,https://www.centrepompidou.fr,True,button,"ok, tout accepter",False,,,False
87.0,https://www.univ-lyon1.fr,True,button,"ok, accept all",False,,,False
88.0,https://www.lavoixdunord.fr,True,button,agree and close,False,,,False
89.0,https://www.openstreetmap.fr,False,,,False,,,False
90.0,https://www.ina.fr,True,button,agree and close,False,,,False
91.0,https://www.univ-lille.fr,True,button,ok,False,,,False
92.0,https://www.psg.fr,True,button,agree and close,True,span,essential cookies,False
93.0,https://www.letelegramme.fr,True,button,agree and close,False,,,False
94.0,https://www.iledefrance.fr,True,button,agree and close,False,,,True
95.0,https://www.lejdd.fr,True,button,accepter et fermer,False,,,False
96.0,https://www.education.fr,False,,,False,,,False
97.0,https://www.marieclaire.fr,True,button,agree and close,False,,,False
98.0,https://www.elle.fr,True,button,accepter et fermer,True,button,continuer sans accepter,False
99.0,https://www.challenges.fr,True,button,accepter et continuer,False,,,False
100.0,https://www.culture.fr,True,button,"ok, accept all",True,button,deny all cookies,False
101.0,https://www.france.fr,True,button,tout accepter,True,button,tout refuser,False
102.0,https://www.chateauversailles.fr,True,button,tout accepter,True,button,tout refuser,False
103.0,https://www.caf.fr,True,div,j'ai compris,False,,,False
104.0,https://www.credit-agricole.fr,True,button,accepter et fermer,True,button,continuer sans accepter,False
105.0,https://www.ircam.fr,True,a,allow cookies,False,,,False
106.0,https://www.vogue.fr,True,div,tout accepter,True,div,continuer sans accepter,False
107.0,https://www.thelocal.fr,True,div,i agree,True,div,continuer sans accepter,True
108.0,https://www.musee-orsay.fr,True,button,"ok, tout accepter",False,,,False
109.0,https://www.letour.fr,True,button,"ok, tout accepter",False,,,True
110.0,https://www.sciencespo.fr,True,button,allow all cookies,True,button,use necessary cookies only,False
111.0,https://www.elysee.fr,True,button,"oui, je suis d'accord",True,button,interdire,False
112.0,https://www.u-bordeaux.fr,True,button,"ok, accept all",False,,,False
113.0,https://www.vie-publique.fr,True,button,accepter,True,button,refuser,False
114.0,https://www.pagesjaunes.fr,False,,,False,,,False
115.0,https://www.zalando.fr,True,button,ok,False,,,False
116.0,https://www.inra.fr,True,button,tout accepter,True,button,tout refuser,False
117.0,https://www.leprogres.fr,True,button,accepter & fermer,False,,,False
118.0,https://www.inserm.fr,True,a,accepter,True,a,refuser,False
119.0,https://www.femmeactuelle.fr,True,div,accepter,False,,,False
120.0,https://www.banque-france.fr,True,button,tout accepter,True,button,tout refuser,False
121.0,https://www.u-strasbg.fr,False,,,False,,,False
122.0,https://www.eventbrite.fr,True,button,accept all,True,a,essential cookies,False
123.0,https://www.mnhn.fr,True,button,accepter tous les cookies,False,,,False
124.0,https://www.leroymerlin.fr,True,button,tout accepter,True,button,continuer sans accepter,False
125.0,https://www.jussieu.fr,False,,,False,,,False
126.0,https://www.ens-lyon.fr,True,p,ok,False,,,False
127.0,https://www.letudiant.fr,True,button,accept all,True,button,do not accept,False
128.0,https://www.fdj.fr,True,button,j'accepte,True,button,continuer sans accepter,False
129.0,https://www.linternaute.fr,True,button,tout accepter,True,div,continuer sans accepter,False
130.0,https://www.univ-lorraine.fr,True,button,accepter les cookies,True,button,indispensable uniquement,False
131.0,https://www.unice.fr,False,,,False,,,False
132.0,https://www.largus.fr,True,button,agree,False,,,False
133.0,https://www.monde-diplomatique.fr,False,,,False,,,False
134.0,https://www.cea.fr,False,,,False,,,False
135.0,https://www.lci.fr,True,button,tout accepter,True,button,continuer sans accepter,False
136.0,https://www.univ-amu.fr,False,,,False,,,False
137.0,https://www.inist.fr,True,a,ok,True,a,non,False
138.0,https://www.ooreka.fr,True,button,accepter & fermer,False,,,False
139.0,https://www.1clic1don.fr,False,,,False,,,False
140.0,https://www.unicaen.fr,True,a,j'accepte,True,a,je refuse,False
141.0,https://www.auvergnerhonealpes.fr,False,,,False,,,False
142.0,https://www.enthdf.fr,True,button,fermer,False,,,False
143.0,https://www.mondialrelay.fr,True,button,accept all cookies,True,button,reject all,False
144.0,https://www.ac-versailles.fr,True,button,tout accepter,True,button,tout refuser,False
145.0,https://www.santepubliquefrance.fr,True,button,accept,True,button,refuse,False
146.0,https://www.sciencesetavenir.fr,True,button,accepter et continuer,False,,,False
147.0,https://www.datingavis.fr,False,,,False,,,False
148.0,https://www.urssaf.fr,True,button,tout accepter,True,button,tout refuser,False
149.0,https://www.zdnet.fr,True,button,j'accepte tout,False,,,False
150.0,https://www.inrae.fr,True,button,tout accepter,True,button,tout refuser,False
151.0,https://www.lindependant.fr,True,button,accepter et fermer,False,,,False
152.0,https://www.auchan.fr,True,div,ok,True,button,refuser,False
153.0,https://www.gettyimages.fr,False,,,False,,,False
154.0,https://www.bouyguestelecom.fr,True,button,tout accepter,False,,,False
155.0,https://www.anses.fr,False,,,False,,,False
156.0,https://www.webnode.fr,True,a,tout accepter,False,,,False
157.0,https://www.anime-sama.fr,True,button,accepter,True,button,refuser,False
158.0,https://www.cnrtl.fr,False,,,False,,,False
159.0,https://www.chronopost.fr,True,a,accepter,True,a,refuser,False
160.0,https://www.sciences-po.fr,True,button,allow all cookies,True,button,use necessary cookies only,False
161.0,https://www.teuteuf.fr,False,,,False,,,False
162.0,https://www.univ-nantes.fr,True,button,tout accepter,True,button,tout refuser,False
163.0,https://www.laredoute.fr,True,button,accepter et fermer,True,p,continuer sans accepter,False
164.0,https://www.linguee.fr,True,div,accept all & visit the site,False,,,False
165.0,https://www.chez-alice.fr,False,,,False,,,False
166.0,https://www.monbureaunumerique.fr,False,,,False,,,False
167.0,https://www.upmc.fr,True,div,"oui, je suis d'accord",True,div,tout refuser,False
168.0,https://www.cirad.fr,True,button,tout accepter,True,button,tout refuser,False
169.0,https://www.veepee.fr,True,div,autoriser tous les cookies,True,div,continuer sans accepter,False
170.0,https://www.synonymo.fr,True,p,ok,True,button,continuer sans accepter,False
171.0,https://www.lassuranceretraite.fr,True,button,"ok, accept all",True,button,deny all cookies,False
172.0,https://www.humanite.fr,True,button,accept all,True,button,do not accept,False
173.0,https://www.fff.fr,True,button,agree and close,False,,,False
174.0,https://www.inpi.fr,True,button,tout accepter,True,button,tout refuser,False
175.0,https://www.onisep.fr,True,button,tout accepter,True,button,tout refuser,False
176.0,https://www.labanquepostale.fr,True,button,tout accepter,True,button,uniquement autoriser les cookies essentiels,False
177.0,https://www.univ-grenoble-alpes.fr,True,button,accepter tous les cookies,True,button,refuser tous les cookies,False
178.0,https://www.obspm.fr,False,,,False,,,False
179.0,https://www.universite-paris-saclay.fr,True,button,"oui, je suis d'accord",False,,,False
180.0,https://www.univ-rennes1.fr,True,button,tout accepter,True,button,tout refuser,False
181.0,https://www.cnam.fr,True,a,j'accepte,True,a,je refuse,False
182.0,https://www.closermag.fr,True,button,accepter & fermer,True,a,je refuse,True
183.0,https://www.diplomatie.gouv.fr,True,button,"ok, accept all",True,button,deny all cookies,False
184.0,https://www.u-paris.fr,True,button,"ok, accept all",True,button,deny all cookies,False
185.0,https://www.lanouvellerepublique.fr,True,button,accepter & fermer,True,a,continuer sans accepter,False
186.0,https://www.operadeparis.fr,True,button,accepter & fermer,True,a,continuer sans accepter,True
187.0,https://www.info-retraite.fr,True,button,"ok, accept all",True,button,deny all cookies,False
188.0,https://www.gala.fr,True,div,accepter,False,,,False
189.0,https://www.vidal.fr,True,div,j'accepte,True,a,continuer sans accepter,False
190.0,https://www.aphp.fr,True,a,allow all cookies,True,a,use necessary cookies only,False
191.0,https://www.castorama.fr,True,a,autoriser,True,a,refuser et continuer,False
192.0,https://www.maxifoot.fr,True,a,ok,True,span,non,False
193.0,https://www.bricodepot.fr,True,button,accepter et continuer,True,button,refuser et continuer,False
194.0,https://www.bpifrance.fr,True,button,tout accepter,True,button,tout refuser,False
195.0,https://www.ird.fr,True,button,tout accepter,True,button,tout refuser,True
196.0,https://www.has-sante.fr,True,button,"ok, accept all",True,button,deny all cookies,False
197.0,https://www.enedis.fr,True,button,autoriser tous les cookies,True,button,refuser tous les cookies,False
198.0,https://www.over-blog.fr,False,,,False,,,False
199.0,https://www.umontpellier.fr,False,,,False,,,False
200.0,https://www.viamichelin.fr,True,button,accepter et fermer,False,,,False
201.0,https://www.urlz.fr,True,button,agree,False,,,False
202.0,https://www.voici.fr,True,div,accepter,False,,,False
203.0,https://www.cnetfrance.fr,True,button,j'accepte tout,False,,,False
204.0,https://www.u-psud.fr,True,button,"oui, je suis d'accord",False,,,False
205.0,https://www.france3.fr,True,button,tout accepter,True,button,continuer sans accepter,False
206.0,https://www.geo.fr,True,div,accepter,False,,,False
207.0,https://www.sephora.fr,True,button,tout accepter,True,button,continuer sans accepter,False
208.0,https://www.intersport.fr,True,button,accepter & fermer,False,,,False
209.0,https://www.billetweb.fr,False,,,False,,,False
210.0,https://www.afd.fr,True,button,accepter et continuer,True,div,continuer sans accepter,False
211.0,https://www.francesoir.fr,True,button,tout accepter,True,button,tout refuser,False
212.0,https://www.axa.fr,False,,,False,,,False
213.0,https://www.premiere.fr,True,button,accepter et fermer,True,a,continuer sans accepter,False
214.0,https://www.mon-ent-occitanie.fr,True,button,"ok, accept all",True,button,deny all cookies,False
215.0,https://www.idealo.fr,True,div,tout accepter,False,,,False
216.0,https://www.estrepublicain.fr,True,button,accepter & fermer,False,,,False
217.0,https://www.canalplus.fr,False,,,False,,,False
218.0,https://www.paruvendu.fr,True,button,accepter et fermer,True,p,continuer sans accepter,False
219.0,https://www.univ-paris1.fr,False,,,False,,,False
220.0,https://www.sorbonne-universite.fr,True,div,"oui, je suis d'accord",True,div,tout refuser,False
221.0,https://www.6play.fr,True,button,tout accepter,False,,,False
222.0,https://www.onlc.fr,False,,,False,,,False
223.0,https://www.loria.fr,False,,,False,,,True
224.0,https://www.parcoursup.fr,True,button,tout autoriser,True,button,tout interdire,False
225.0,https://www.onlinehome.fr,False,,,False,,,False
226.0,https://www.cnes.fr,False,,,False,,,False
227.0,https://www.lopinion.fr,True,button,accept all,True,button,do not accept,False
228.0,https://www.in2p3.fr,False,,,True,button,non merci,False
229.0,https://www.lacentrale.fr,True,button,accepter,True,button,refuser,False
230.0,https://www.lamontagne.fr,True,button,agree & close,False,,,False
231.0,https://www.renater.fr,False,,,False,,,False
232.0,https://www.decitre.fr,True,form,ok,True,button,reject all,False
233.0,https://www.univ-tours.fr,False,,,False,,,False
234.0,https://www.picclick.fr,False,,,False,,,False
235.0,https://www.polytechnique.fr,True,button,tout accepter,True,button,tout refuser,False
236.0,https://www.francetv.fr,True,button,tout accepter,True,button,continuer sans accepter,False
237.0,https://www.france-visas.gouv.fr,True,button,accept all,True,button,reject all,False
238.0,https://www.cite-sciences.fr,True,button,accepter,True,button,refuser,False
239.0,https://www.lcl.fr,True,button,tout accepter,True,button,tout refuser,False
240.0,https://www.journaldunet.fr,True,button,tout accepter,True,div,continuer sans accepter,False
241.0,https://www.public.fr,True,button,accepter et fermer,True,button,continuer sans accepter,False
242.0,https://www.dna.fr,True,button,accepter & fermer,False,,,False
243.0,https://www.parents.fr,True,button,accepter & fermer,False,,,False
244.0,https://www.parisaeroport.fr,True,button,tout accepter,True,button,continuer sans accepter,False
245.0,https://www.u-bourgogne.fr,False,,,False,,,False
246.0,https://www.digiposte.fr,True,a,toutes les fonctionnalités,True,button,continuer sans accepter,False
247.0,https://www.inrs.fr,True,button,accept all cookies,True,button,reject all,False
248.0,https://www.hitek.fr,True,button,agree and close,True,button,reject all,True
249.0,https://www.conseil-constitutionnel.fr,True,button,"oui, je suis d'accord",True,button,"non, merci",False
250.0,https://www.fft.fr,False,,,False,,,False
251.0,https://www.croix-rouge.fr,True,div,accept all cookies,True,div,continue without accepting,False
252.0,https://www.lidl.fr,True,button,tout accepter,True,button,tout refuser,False
253.0,https://www.univ-paris13.fr,True,button,tout accepter,True,button,refuser,False
254.0,https://www.univ-angers.fr,True,a,accepter,True,a,refuser,False
255.0,https://www.univ-poitiers.fr,False,,,False,,,False
