index,url,accept-found,accept-type,accept-text,reject-found,reject-type,reject-text,error
,,,,,,,,
0,https://www.amazon.co.uk,True,span,accept cookies,True,div,continue without accepting,False
1,https://www.bbc.co.uk,False,,,False,,,True
2,https://www.dailymail.co.uk,True,button,got it,False,,,False
3,https://www.google.co.uk,True,button,accept all,True,button,reject all,False
4,https://www.telegraph.co.uk,True,div,continue,False,,,False
5,https://www.independent.co.uk,True,button,agree,False,,,False
6,https://www.mirror.co.uk,True,button,i accept,False,,,False
7,https://www.thesun.co.uk,True,button,fine by me,True,button,no thanks,False
8,https://www.ebay.co.uk,True,button,accept all,True,button,decline all,False
9,https://www.thetimes.co.uk,True,button,i agree,False,,,False
10,https://www.express.co.uk,True,button,i accept,False,,,False
11,https://www.metro.co.uk,True,button,got it,False,,,False
12,https://www.pinterest.co.uk,False,,,False,,,True
13,https://www.eventbrite.co.uk,True,button,accept all,False,,,True
14,https://www.aol.co.uk,True,button,accept all,True,button,reject all,False
15,https://www.standard.co.uk,False,,,False,,,True
16,https://www.huffingtonpost.co.uk,False,,,False,,,False
17,https://www.rightmove.co.uk,True,div,allow all cookies,False,,,False
18,https://www.tripadvisor.co.uk,True,div,i accept,False,,,False
19,https://www.wired.co.uk,True,div,i accept,False,,,False
20,https://www.boutell.co.uk,False,,,False,,,False
21,https://www.dailystar.co.uk,True,button,i accept,False,,,False
22,https://www.manchestereveningnews.co.uk,True,button,i accept,False,,,False
23,https://www.newsnow.co.uk,True,div,agree,False,,,False
24,https://www.autotrader.co.uk,True,button,accept all,False,,,False
25,https://www.inews.co.uk,True,button,got it,False,,,False
26,https://www.argos.co.uk,True,button,accept all cookies,False,,,False
27,https://www.dailyrecord.co.uk,True,button,i accept,False,,,False
28,https://www.pinneytalfourd.co.uk,True,a,accept all,True,a,reject all,False
29,https://www.walesonline.co.uk,True,button,i accept,False,,,False
30,https://www.ibtimes.co.uk,True,button,accept all,True,span,functional,False
31,https://www.foodnetwork.co.uk,True,div,i accept,False,,,False
32,https://www.vogue.co.uk,True,div,i accept,False,,,False
33,https://www.which.co.uk,True,button,accept cookies,True,button,only use essential cookies,False
34,https://www.santander.co.uk,False,,,False,,,False
35,https://www.spectator.co.uk,True,div,accept,False,,,False
36,https://www.lloydsbank.co.uk,False,,,False,,,False
37,https://www.gq-magazine.co.uk,True,div,i accept,False,,,False
38,https://www.liverpoolecho.co.uk,True,button,i accept,False,,,False
39,https://www.zoopla.co.uk,True,button,accept all cookies,False,,,False
40,https://www.bankofengland.co.uk,True,button,accept recommended cookies,True,button,proceed with necessary cookies only,False
41,https://www.airbnb.co.uk,False,,,False,,,False
42,https://www.bbci.co.uk,False,,,False,,,True
43,https://www.currys.co.uk,True,div,accept all cookies,False,,,False
44,https://www.birminghammail.co.uk,True,button,i accept,False,,,False
45,https://www.next.co.uk,True,div,accept all,False,,,False
46,https://www.belfasttelegraph.co.uk,True,button,accept,False,,,False
47,https://www.hsbc.co.uk,True,button,accept all cookies,False,,,False
48,https://www.glassdoor.co.uk,True,button,accept cookies,False,,,False
49,https://www.sainsburys.co.uk,True,button,accept all cookies,False,,,False
50,https://www.barclays.co.uk,True,div,accept all,False,,,False
51,https://www.penguin.co.uk,True,button,accept all cookies,False,,,False
52,https://www.thisismoney.co.uk,True,button,got it,False,,,False
53,https://www.nationalrail.co.uk,True,button,i accept,True,button,reject all,False
54,https://www.surveymonkey.co.uk,True,button,accept all cookies,True,button,reject all cookies,False
55,https://www.yougov.co.uk,True,button,accept,False,,,False
56,https://www.chroniclelive.co.uk,True,div,continue,False,,,False
57,https://www.ticketmaster.co.uk,False,,,False,,,False
58,https://www.nationwide.co.uk,True,button,allow all cookies,False,,,False
59,https://www.guim.co.uk,False,,,False,,,True
60,https://www.glamourmagazine.co.uk,True,div,i accept,False,,,False
61,https://www.campaignlive.co.uk,True,div,i accept,False,,,False
62,https://www.vodafone.co.uk,True,div,accept all cookies,False,,,True
63,https://www.twinkl.co.uk,False,,,False,,,False
64,https://www.just-eat.co.uk,True,button,accept all cookies,False,,,False
65,https://www.lrb.co.uk,True,button,accept,False,,,False
66,https://www.halifax-online.co.uk,False,,,False,,,False
67,https://www.autoexpress.co.uk,True,button,accept all,False,,,False
