index,url,accept-found,accept-type,accept-text,reject-found,reject-type,reject-text,error
,,,,,,,,
0.0,https://www.independent.ie,True,button,accept,False,,,False
1.0,https://www.rte.ie,True,div,accept all cookies,False,,,False
2.0,https://www.google.ie,True,button,accept all,True,button,reject all,False
3.0,https://www.tcd.ie,True,button,accept all cookies,False,,,False
4.0,https://www.thejournal.ie,True,button,accept all,False,,,False
5.0,https://www.ucd.ie,True,div,accept all cookies,False,,,False
6.0,https://www.ucc.ie,True,button,accept all cookies,True,button,reject all cookies,False
7.0,https://www.irishmirror.ie,True,button,i accept,False,,,False
8.0,https://www.www.gov.ie,False,,,False,,,False
9.0,https://www.rufus.ie,False,,,False,,,False
10.0,https://www.thesun.ie,True,button,allow,True,button,dismiss,False
11.0,https://www.ul.ie,True,a,allow all cookies,True,a,use necessary cookies only,False
12.0,https://www.ebay.ie,True,button,accept all,True,button,decline all,False
13.0,https://www.hse.ie,True,button,accept all cookies,True,button,necessary cookies only,False
14.0,https://www.dcu.ie,True,button,allow all cookies,True,button,use necessary cookies only,False
15.0,https://www.dataprotection.ie,False,,,False,,,False
16.0,https://www.dfa.ie,True,button,accept all cookies,True,button,reject all optional cookies,False
17.0,https://www.aib.ie,True,button,allow all,True,button,accept only necessary,False
18.0,https://www.revenue.ie,False,,,False,,,False
19.0,https://www.tripadvisor.ie,True,div,i accept,False,,,False
20.0,https://www.maps.ie,True,button,"ok, i agree",False,,,False
21.0,https://www.daft.ie,True,button,accept all,False,,,False
22.0,https://www.eventbrite.ie,True,button,accept cookies,True,button,decline,False
23.0,https://www.pinterest.ie,False,,,False,,,False
24.0,https://www.nuigalway.ie,True,button,allow all,False,,,False
25.0,https://www.citizensinformation.ie,True,button,accept all cookies,False,,,False
26.0,https://www.breakingnews.ie,True,button,i accept,False,,,False
27.0,https://www.joe.ie,True,button,i accept,False,,,False
28.0,https://www.universityofgalway.ie,True,button,allow all,False,,,False
29.0,https://www.boards.ie,True,div,accept all & visit the site,False,,,False
30.0,https://www.maynoothuniversity.ie,True,button,allow all cookies,True,button,reject,False
31.0,https://www.centralbank.ie,True,div,accept all cookies,False,,,False
32.0,https://www.cso.ie,True,div,accept,False,,,False
33.0,https://www.ticketmaster.ie,True,div,accept cookies,True,div,reject all,False
34.0,https://www.oireachtas.ie,True,button,accept all cookies,False,,,False
35.0,https://www.the42.ie,True,button,accept all,False,,,False
36.0,https://www.irishstatutebook.ie,True,button,accept all cookies,False,,,False
37.0,https://www.tudublin.ie,True,button,allow all,True,button,disable all,False
38.0,https://www.extra.ie,True,div,i accept,False,,,False
39.0,https://www.entertainment.ie,True,button,i agree,False,,,False
40.0,https://www.irishrail.ie,True,a,consent,True,button,reject all,False
41.0,https://www.donedeal.ie,True,button,accept all,False,,,False
42.0,https://www.dublinlive.ie,True,button,i accept,False,,,False
43.0,https://www.adverts.ie,False,,,False,,,False
44.0,https://www.glassdoor.ie,True,button,accept cookies,True,button,reject all,False
45.0,https://www.irishjobs.ie,False,,,False,,,False
46.0,https://www.mytown.ie,False,,,False,,,False
47.0,https://www.lidl.ie,True,button,agree,True,button,reject,False
48.0,https://www.her.ie,True,button,i accept,False,,,False
49.0,https://www.dit.ie,True,button,allow all,True,button,disable all,False
50.0,https://www.gettyimages.ie,False,,,False,,,False
51.0,https://www.dublincity.ie,True,div,accept all cookies,False,,,False
52.0,https://www.evoke.ie,True,div,i accept,False,,,False
53.0,https://www.skyscanner.ie,True,button,ok,False,,,False
54.0,https://www.heanet.ie,True,div,accept all cookies,False,,,False
55.0,https://www.businesspost.ie,True,button,agree,True,button,disagree,False
56.0,https://www.currys.ie,True,button,yes,True,button,no,False
57.0,https://www.vodafone.ie,True,button,accept all cookies,True,button,reject all,False
58.0,https://www.drugs.ie,True,button,accept all cookies,True,button,necessary cookies only,False
59.0,https://www.airbnb.ie,False,,,False,,,False
60.0,https://www.tesco.ie,True,form,accept all cookies,False,,,False
61.0,https://www.irishimmigration.ie,True,div,accept all,True,div,decline all,False
62.0,https://www.eir.ie,True,button,accept all,True,button,reject all,False
63.0,https://www.buseireann.ie,True,button,accept all cookies,True,button,reject all,False
64.0,https://www.gaa.ie,False,,,False,,,False
65.0,https://www.epa.ie,True,div,accept all cookies,False,,,False
66.0,https://www.jobs.ie,True,button,i accept,False,,,False
67.0,https://www.hsa.ie,True,a,accept all cookies,False,,,False
68.0,https://www.harveynorman.ie,True,button,accept all cookies,True,button,reject all,False
69.0,https://www.irishtechnews.ie,True,button,accept,True,button,deny,False
70.0,https://www.discoverireland.ie,True,button,accept all,False,,,False
71.0,https://www.focloir.ie,True,div,accept all cookies,False,,,False
72.0,https://www.accord.ie,True,div,accept all,True,div,decline all,False
73.0,https://www.myhome.ie,True,div,i accept,False,,,False
74.0,https://www.boots.ie,True,div,accept cookies,False,,,False
75.0,https://www.rip.ie,True,a,allow all cookies,True,a,use necessary cookies only,False
76.0,https://www.screwfix.ie,True,a,allow all cookies,True,a,use necessary cookies only,True
77.0,https://www.agriland.ie,True,button,accept all cookies,False,,,False
78.0,https://www.mypurecloud.ie,False,,,False,,,False
79.0,https://www.lookfantastic.ie,True,button,that's ok,False,,,True
80.0,https://www.balls.ie,True,button,i accept,False,,,False
81.0,https://www.museum.ie,True,button,i accept cookies,True,button,i do not accept cookies,False
82.0,https://www.teagasc.ie,True,button,accept all cookies,True,button,necessary cookies only,False
83.0,https://www.met.ie,True,div,accept all cookies,False,,,False
84.0,https://www.nli.ie,False,,,False,,,False
85.0,https://www.ncirl.ie,True,button,accept all cookies,True,button,only accept strictly necessary,False
86.0,https://www.rsa.ie,True,div,accept all cookies,False,,,False
87.0,https://www.eircode.ie,True,div,accept all,True,div,decline all,False
88.0,https://www.heritageireland.ie,True,button,accept all cookies,True,button,reject all cookies,False
89.0,https://www.limerickleader.ie,True,button,agree,False,,,False
90.0,https://www.next.ie,True,div,accept all,False,,,False
91.0,https://www.nationalarchives.ie,True,button,accept cookies,True,button,deny,False
92.0,https://www.fsai.ie,True,button,i accept cookies,True,button,i do not accept cookies,False
93.0,https://www.seai.ie,True,a,allow all cookies,False,,,False
94.0,https://www.fai.ie,True,button,accept all cookies,False,,,False
95.0,https://www.did.ie,True,button,accept,True,button,reject,False
96.0,https://www.anpost.ie,True,button,accept all,False,,,False
97.0,https://www.argos.ie,True,button,accept all cookies,False,,,False
98.0,https://www.very.ie,False,,,False,,,False
99.0,https://www.dublinbus.ie,True,a,allow all cookies,True,a,use necessary cookies only,False
100.0,https://www.ovh.ie,True,button,accept,True,button,continue without accepting,False
101.0,https://www.garda.ie,True,a,accept all cookies,True,a,necessary cookies only,False
102.0,https://www.nationalgallery.ie,True,a,allow all cookies,False,,,False
103.0,https://www.sportsjoe.ie,True,button,i accept,False,,,False
104.0,https://www.three.ie,True,div,accept all cookies,False,,,False
105.0,https://www.just-eat.ie,True,button,yes,True,button,no,False
106.0,https://www.nuim.ie,True,button,allow all cookies,True,button,reject,False
107.0,https://www.carzone.ie,False,,,False,,,False
108.0,https://www.mywelfare.ie,True,button,accept all cookies,False,,,False
109.0,https://www.cit.ie,True,div,allow all,False,,,False
110.0,https://www.aircoach.ie,True,div,accept all cookies,False,,,False
111.0,https://www.dbs.ie,True,div,accept all,False,,,False
112.0,https://www.inis.gov.ie,False,,,False,,,False
113.0,https://www.lombard.ie,True,div,allow all cookies,False,,,False
114.0,https://www.irishgenealogy.ie,False,,,False,,,False
115.0,https://www.rsvplive.ie,True,button,i accept,False,,,False
116.0,https://www.buzz.ie,True,button,i accept,False,,,False
117.0,https://www.virginmediatelevision.ie,True,div,accept all,False,,,False
118.0,https://www.virginmedia.ie,True,button,accept all cookies,True,button,reject all,False
119.0,https://www.permanenttsb.ie,True,button,accept all,True,button,reject all,False
120.0,https://www.indigo.ie,True,button,accept all,True,button,reject all,False
121.0,https://www.dpd.ie,False,,,False,,,False
122.0,https://www.supervalu.ie,True,button,accept all cookies,True,button,reject all cookies,False
123.0,https://www.esb.ie,True,button,accept all,False,,,False
124.0,https://www.wit.ie,True,button,accept all cookies,True,button,reject all,False
125.0,https://www.echolive.ie,True,button,i accept,False,,,False
126.0,https://www.corkbeo.ie,True,button,i accept,False,,,False
127.0,https://www.farmersjournal.ie,True,button,accept all cookies,False,,,False
128.0,https://www.stubhub.ie,False,,,False,,,False
129.0,https://www.zalando.ie,False,,,True,a,deny,False
130.0,https://www.fastway.ie,False,,,True,span,functional,False
131.0,https://www.agriculture.gov.ie,True,a,allow all,True,a,reject all,False
