index,url,accept-found,accept-type,accept-text,reject-found,reject-type,reject-text,error
,,,,,,,,
0.0,https://www.google.nl,True,button,alles accepteren,True,button,alles afwijzen,False
1.0,https://www.cwi.nl,True,span,accept,True,button,reject,False
2.0,https://www.nu.nl,True,button,akkoord,False,,,False
3.0,https://www.nos.nl,False,,,False,,,False
4.0,https://www.uu.nl,False,,,False,,,False
5.0,https://www.ad.nl,True,button,akkoord,False,,,False
6.0,https://www.telegraaf.nl,True,button,akkoord,False,,,False
7.0,https://www.xs4all.nl,False,,,False,,,False
8.0,https://www.tudelft.nl,True,a,ik ga akkoord,True,a,ik ga niet akkoord,False
9.0,https://www.rug.nl,True,a,accept all cookies,False,,,False
10.0,https://www.uva.nl,True,button,accepteer alle cookies,False,,,False
11.0,https://www.digid.nl,True,a,activeren,False,,,False
12.0,https://www.rijksoverheid.nl,False,,,False,,,False
13.0,https://www.utwente.nl,False,,,False,,,False
14.0,https://www.marktplaats.nl,True,button,accepteren,False,,,False
15.0,https://www.tue.nl,True,a,i agree,False,,,False
16.0,https://www.vu.nl,True,button,accepteer alle cookies,False,,,False
17.0,https://www.wur.nl,True,div,accepteer alle cookies,False,,,False
18.0,https://www.ing.nl,False,,,False,,,False
19.0,https://www.volkskrant.nl,True,button,akkoord,False,,,False
20.0,https://www.nrc.nl,True,div,sluiten,False,,,False
21.0,https://www.funda.nl,True,div,accepteer alle cookies,False,,,False
22.0,https://www.ru.nl,True,button,alle cookies toestaan,True,button,aanvullende cookies weigeren,False
23.0,https://www.universiteitleiden.nl,True,button,cookies accepteren,True,button,cookies weigeren,False
24.0,https://www.abnamro.nl,True,a,akkoord,True,a,niet akkoord,False
25.0,https://www.rtlnieuws.nl,True,div,akkoord,False,,,False
26.0,https://www.surfconext.nl,True,div,accepteer,False,,,False
27.0,https://www.amazon.nl,True,span,cookies aanvaarden,False,,,False
28.0,https://www.government.nl,False,,,False,,,False
29.0,https://www.rijksmuseum.nl,True,button,accepteren,True,button,"nee, liever niet",False
30.0,https://www.dumpert.nl,True,button,akkoord,False,,,False
31.0,https://www.ns.nl,True,button,akkoord,True,button,weigeren,False
32.0,https://www.eur.nl,True,button,alle cookies accepteren,False,,,False
33.0,https://www.rabobank.nl,True,button,akkoord,False,,,False
34.0,https://www.overheid.nl,False,,,False,,,False
35.0,https://www.autoriteitpersoonsgegevens.nl,False,,,False,,,False
36.0,https://www.ah.nl,True,button,accepteer,True,button,weigeren,False
37.0,https://www.transip.nl,True,div,alle cookies accepteren,False,,,False
38.0,https://www.leidenuniv.nl,True,button,cookies accepteren,True,button,cookies weigeren,False
39.0,https://www.buienradar.nl,True,div,akkoord,False,,,False
40.0,https://www.belastingdienst.nl,False,,,False,,,False
41.0,https://www.cbs.nl,False,,,False,,,False
42.0,https://www.maastrichtuniversity.nl,True,button,allow all cookies,True,button,use necessary cookies only,False
43.0,https://www.rivm.nl,False,,,False,,,False
44.0,https://www.kvk.nl,False,,,True,span,functioneel,False
45.0,https://www.anwb.nl,True,div,"ja, ik ga akkoord",False,,,False
46.0,https://www.jouwweb.nl,False,,,False,,,False
47.0,https://www.trouw.nl,True,button,akkoord,False,,,False
48.0,https://www.dutchnews.nl,True,button,consent,False,,,False
49.0,https://www.ziggo.nl,True,button,ja,True,button,nee,False
50.0,https://www.amsterdam.nl,False,,,False,,,False
51.0,https://www.postnl.nl,True,button,akkoord,False,,,False
52.0,https://www.startpagina.nl,True,div,akkoord,False,,,True
53.0,https://www.hostnet.nl,True,button,alle cookies accepteren,False,,,False
54.0,https://www.nltimes.nl,True,button,consent,False,,,False
55.0,https://www.vangoghmuseum.nl,True,button,akkoord,True,button,liever niet,False
56.0,https://www.coolblue.nl,True,div,oké,True,button,weigeren,False
57.0,https://www.dpgmedia.nl,True,button,akkoord,False,,,False
58.0,https://www.parool.nl,True,button,akkoord,False,,,False
59.0,https://www.rvo.nl,False,,,False,,,False
60.0,https://www.npostart.nl,False,,,False,,,False
61.0,https://www.consumentenbond.nl,True,button,accepteer alle cookies,True,button,niet accepteren,False
62.0,https://www.vpro.nl,False,,,False,,,False
63.0,https://www.rechtspraak.nl,False,,,False,,,False
64.0,https://www.geenstijl.nl,False,,,False,,,True
65.0,https://www.zalando.nl,True,button,ok,True,button,alleen essentiële cookies,False
66.0,https://www.home.nl,False,,,False,,,False
67.0,https://www.gelderlander.nl,True,button,akkoord,False,,,False
68.0,https://www.tno.nl,True,button,accept all,True,button,decline all,False
69.0,https://www.fd.nl,True,button,accept all,True,button,decline all,True
70.0,https://www.bbw-chan.nl,False,,,False,,,False
71.0,https://www.schiphol.nl,True,form,"yes, i accept all cookies",False,,,False
72.0,https://www.mature.nl,False,,,False,,,False
73.0,https://www.tripadvisor.nl,True,div,akkoord,False,,,False
74.0,https://www.bnnvara.nl,True,div,akkoord,False,,,True
75.0,https://www.hema.nl,True,button,accepteren,True,button,weigeren,False
76.0,https://www.planet.nl,True,button,"ja, dat is prima",True,button,"nee, liever niet",False
77.0,https://www.vi.nl,True,button,toestemming,True,button,nee bedankt,False
78.0,https://www.9292.nl,False,,,False,,,False
79.0,https://www.avrotros.nl,False,,,False,,,False
80.0,https://www.knmi.nl,False,,,False,,,False
81.0,https://www.knaw.nl,False,,,False,,,False
82.0,https://www.businessinsider.nl,True,span,accept all,True,span,reject all,False
83.0,https://www.politie.nl,True,button,accepteren,True,button,weigeren,False
84.0,https://www.npo.nl,False,,,False,,,False
85.0,https://www.demon.nl,False,,,False,,,False
86.0,https://www.terk.nl,False,,,False,,,False
87.0,https://www.autoweek.nl,True,button,akkoord,False,,,False
88.0,https://www.voetbalprimeur.nl,True,button,toestemming,False,,,False
89.0,https://www.uvt.nl,True,button,accepteren en doorgaan,True,button,niet accepteren,False
90.0,https://www.ebay.nl,True,button,alles accepteren,True,button,alles weigeren,False
91.0,https://www.destentor.nl,True,button,akkoord,False,,,False
92.0,https://www.rtl.nl,True,div,akkoord,False,,,False
93.0,https://www.somtoday.nl,True,div,ok,False,,,False
94.0,https://www.voetbalzone.nl,True,button,akkoord,False,,,False
95.0,https://www.dhlparcel.nl,True,button,accepteer alles,True,button,alleen strikt noodzakelijk,False
96.0,https://www.uwv.nl,True,button,alles accepteren,False,,,False
97.0,https://www.hva.nl,True,a,alle cookies toestaan,False,,,False
98.0,https://www.bnr.nl,True,button,alles accepteren,False,,,False
99.0,https://www.rotterdam.nl,True,button,accepteer cookies,True,button,weiger cookies,False
100.0,https://www.tweedekamer.nl,False,,,False,,,False
101.0,https://www.rdw.nl,False,,,False,,,False
102.0,https://www.ed.nl,True,button,akkoord,False,,,False
103.0,https://www.nporadio1.nl,True,div,alles accepteren,False,,,False
104.0,https://www.dnb.nl,True,button,akkoord,False,,,False
105.0,https://www.vinted.nl,True,button,alle toestaan,True,button,alles afwijzen,False
106.0,https://www.vodafone.nl,True,button,accepteren,True,button,"nee, liever niet",False
107.0,https://www.voedingscentrum.nl,True,div,sluit,False,,,False
108.0,https://www.doxygen.nl,False,,,False,,,False
109.0,https://www.tui.nl,True,a,accepteer cookies,True,a,weigeren,False
110.0,https://www.eventbrite.nl,True,button,accept cookies,True,button,decline,False
111.0,https://www.officielebekendmakingen.nl,False,,,False,,,False
112.0,https://www.weeronline.nl,False,,,False,,,False
113.0,https://www.bd.nl,True,button,akkoord,False,,,False
114.0,https://www.omroepbrabant.nl,True,button,accepteer alles en sla op,False,,,False
115.0,https://www.t-mobile.nl,True,button,"ja, optimale cookies accepteren",True,button,"nee, ik wil geen optimale ervaring",False
116.0,https://www.defensie.nl,False,,,False,,,False
117.0,https://www.tubantia.nl,True,button,akkoord,False,,,False
118.0,https://www.omroep.nl,False,,,False,,,False
119.0,https://www.metronieuws.nl,True,button,akkoord,True,button,nee,False
120.0,https://www.fok.nl,True,button,ik ga akkoord,False,,,False
121.0,https://www.sidn.nl,True,span,sluit,True,button,"nee, bedankt",False
122.0,https://www.at5.nl,True,button,accepteer alles en sla op,False,,,False
123.0,https://www.ajax.nl,True,button,cookies accepteren,False,,,False
124.0,https://www.kb.nl,False,,,False,,,False
125.0,https://www.thuisbezorgd.nl,True,div,ok,True,button,essentiële,False
126.0,https://www.dds.nl,False,,,False,,,False
127.0,https://www.bndestem.nl,True,button,akkoord,False,,,False
128.0,https://www.nailtalk.nl,False,,,False,,,False
129.0,https://www.lidl.nl,True,button,accepteren,True,button,weigeren,False
130.0,https://www.iex.nl,False,,,False,,,False
131.0,https://www.buckaroo.nl,True,a,alle cookies toestaan,False,,,False
132.0,https://www.nuffic.nl,False,,,False,,,False
133.0,https://www.klm.nl,True,button,ga verder,True,button,weiger,False
134.0,https://www.infonu.nl,False,,,False,,,False
135.0,https://www.iamexpat.nl,True,div,accept all,False,,,False
136.0,https://www.emerce.nl,True,div,accept all,False,,,False
137.0,https://www.dvhn.nl,True,button,akkoord,False,,,False
138.0,https://www.encyclo.nl,True,button,toestemming,False,,,False
139.0,https://www.hccnet.nl,False,,,False,,,False
140.0,https://www.kruidvat.nl,True,div,"eens, verder naar de website",False,,,False
141.0,https://www.gamma.nl,True,button,accepteren,True,button,nee bedankt,False
142.0,https://www.yourhosting.nl,False,,,False,,,False
143.0,https://www.denhaag.nl,False,,,False,,,False
144.0,https://www.zeelandnet.nl,True,button,toestemming,False,,,False
145.0,https://www.hornbach.nl,False,,,False,,,False
146.0,https://www.thuisarts.nl,True,button,sluiten,False,,,False
147.0,https://www.erasmusmc.nl,False,,,False,,,False
148.0,https://www.ticketmaster.nl,True,div,accept cookies,True,div,reject all,False
149.0,https://www.debijenkorf.nl,True,button,akkoord,True,button,niet akkoord,False
150.0,https://www.uwzorgonline.nl,True,button,alles accepteren,True,form,functioneel,False
151.0,https://www.zalando-lounge.nl,True,button,ok,True,button,alleen essentiële cookies,False
152.0,https://www.nederlandwereldwijd.nl,False,,,False,,,False
153.0,https://www.4movierulz.nl,False,,,False,,,False
154.0,https://www.skyscanner.nl,True,button,ok,False,,,False
155.0,https://www.mediamarkt.nl,True,button,alles accepteren,False,,,False
156.0,https://www.noordhollandsdagblad.nl,True,button,akkoord,False,,,False
157.0,https://www.limburger.nl,True,button,akkoord en sluiten,False,,,False
158.0,https://www.independer.nl,True,button,toestaan,True,a,weigeren,False
159.0,https://www.online.nl,True,a,alle cookies toestaan,True,a,alleen noodzakelijke cookies,False
160.0,https://www.beslist.nl,True,button,accepteren,True,span,weigeren,False
161.0,https://www.rijnmond.nl,True,button,accepteer alles en sla op,True,button,"nee, bedankt",False
162.0,https://www.ind.nl,False,,,False,,,False
163.0,https://www.vandale.nl,True,button,close,False,,,False
164.0,https://www.domeinenbank.nl,False,,,False,,,False
165.0,https://www.mvrdv.nl,True,button,"yes, i accept cookies",False,,,False
